iter	Passed	Remaining
0	19	19364
1	38	19175
2	60	20041
3	80	19932
4	100	19935
5	118	19602
6	137	19535
7	157	19528
8	179	19725
9	199	19704
10	217	19536
11	237	19541
12	257	19530
13	275	19429
14	296	19457
15	314	19354
16	335	19398
17	355	19387
18	374	19316
19	395	19397
20	415	19375
21	434	19313
22	458	19485
23	478	19447
24	498	19442
25	520	19514
26	542	19535
27	563	19553
28	582	19498
29	602	19475
30	622	19460
31	643	19468
32	665	19496
33	685	19471
34	705	19464
35	725	19426
36	743	19358
37	763	19322
38	783	19295
39	804	19315
40	824	19279
41	844	19270
42	865	19270
43	888	19300
44	910	19331
45	931	19314
46	951	19300
47	972	19293
48	990	19229
49	1008	19168
50	1029	19154
51	1049	19130
52	1069	19117
53	1089	19089
54	1110	19076
55	1130	19061
56	1151	19051
57	1171	19025
58	1191	19001
59	1209	18942
60	1228	18915
61	1247	18877
62	1268	18859
63	1288	18842
64	1308	18824
65	1327	18790
66	1346	18754
67	1367	18736
68	1387	18718
69	1409	18720
70	1427	18679
71	1446	18649
72	1466	18623
73	1486	18603
74	1510	18626
75	1531	18619
76	1552	18608
77	1574	18606
78	1594	18583
79	1614	18562
80	1632	18524
81	1652	18502
82	1672	18483
83	1692	18457
84	1711	18421
85	1731	18402
86	1752	18393
87	1775	18400
88	1795	18383
89	1816	18364
90	1835	18331
91	1856	18320
92	1879	18325
93	1900	18315
94	1921	18307
95	1942	18287
96	1960	18250
97	1979	18217
98	2002	18225
99	2021	18191
100	2040	18160
101	2060	18143
102	2081	18125
103	2102	18113
104	2123	18101
105	2142	18070
106	2164	18065
107	2184	18042
108	2208	18049
109	2228	18031
110	2247	18002
111	2269	17991
112	2288	17961
113	2309	17951
114	2331	17945
115	2351	17921
116	2371	17897
117	2391	17871
118	2412	17858
119	2432	17837
120	2452	17816
121	2476	17820
122	2499	17823
123	2522	17821
124	2544	17813
125	2566	17804
126	2587	17789
127	2607	17763
128	2626	17732
129	2647	17720
130	2669	17708
131	2690	17690
132	2709	17665
133	2730	17643
134	2749	17618
135	2769	17592
136	2791	17584
137	2813	17571
138	2831	17541
139	2851	17515
140	2870	17487
141	2889	17460
142	2915	17472
143	2937	17463
144	2957	17441
145	2978	17420
146	2997	17394
147	3016	17367
148	3039	17358
149	3058	17334
150	3079	17315
151	3101	17300
152	3120	17272
153	3141	17258
154	3162	17240
155	3182	17217
156	3201	17187
157	3220	17164
158	3240	17138
159	3260	17115
160	3282	17104
161	3302	17084
162	3323	17064
163	3343	17041
164	3363	17022
165	3384	17001
166	3405	16986
167	3424	16959
168	3446	16949
169	3468	16934
170	3493	16937
171	3514	16919
172	3538	16916
173	3561	16909
174	3583	16892
175	3623	16962
176	3642	16936
177	3662	16915
178	3683	16893
179	3704	16876
180	3725	16858
181	3748	16846
182	3767	16818
183	3788	16802
184	3810	16786
185	3829	16760
186	3852	16747
187	3872	16726
188	3892	16702
189	3911	16675
190	3932	16655
191	3955	16644
192	3975	16623
193	3995	16600
194	4018	16588
195	4039	16568
196	4058	16544
197	4077	16517
198	4098	16496
199	4119	16476
200	4143	16469
201	4164	16453
202	4185	16431
203	4204	16405
204	4224	16381
205	4245	16364
206	4266	16344
207	4288	16330
208	4307	16300
209	4327	16280
210	4345	16248
211	4367	16232
212	4389	16216
213	4407	16190
214	4429	16172
215	4449	16149
216	4472	16137
217	4496	16129
218	4517	16112
219	4540	16099
220	4561	16080
221	4582	16060
222	4602	16036
223	4623	16016
224	4646	16004
225	4666	15980
226	4686	15958
227	4704	15930
228	4724	15906
229	4746	15889
230	4768	15874
231	4789	15854
232	4808	15830
233	4828	15805
234	4849	15785
235	4868	15760
236	4891	15747
237	4912	15727
238	4933	15707
239	4953	15686
240	4975	15670
241	4996	15649
242	5020	15639
243	5040	15616
244	5060	15593
245	5079	15569
246	5100	15548
247	5121	15528
248	5141	15507
249	5164	15492
250	5183	15469
251	5194	15417
252	5213	15393
253	5233	15371
254	5252	15344
255	5273	15325
256	5294	15307
257	5316	15291
258	5335	15266
259	5359	15254
260	5378	15229
261	5401	15213
262	5421	15193
263	5446	15182
264	5471	15176
265	5493	15159
266	5514	15139
267	5534	15117
268	5556	15098
269	5576	15077
270	5597	15057
271	5618	15038
272	5640	15021
273	5663	15006
274	5684	14986
275	5704	14965
276	5725	14944
277	5743	14917
278	5764	14896
279	5785	14877
280	5806	14857
281	5829	14841
282	5848	14817
283	5865	14788
284	5887	14771
285	5909	14752
286	5929	14731
287	5950	14711
288	5972	14692
289	5992	14671
290	6015	14656
291	6036	14637
292	6057	14616
293	6078	14595
294	6099	14577
295	6119	14555
296	6139	14532
297	6160	14512
298	6180	14490
